Bigram,Probability
fear that,-11.075
fellow and,-11.075
forget her,-11.075
forget me,-11.075
formed of,-11.075
formed on,-11.075
fortnight I,-11.075
fortnight after,-11.075
fortnight at,-11.075
fortnight which,-11.075
fully convinced,-11.075
fully satisfied,-11.075
fully sensible,-11.075
getting away,-11.075
getting her,-11.075
getting it,-11.075
getting on,-11.075
getting out,-11.075
getting to,-11.075
guess the,-11.075
guess where,-11.075
humour at,-11.075
humour of,-11.075
humour with,-11.075
hurry off,-11.075
hurry on,-11.075
imagined a,-11.075
imagined he,-11.075
immediate <eos>,-11.075
immediate feeling,-11.075
importance it,-11.075
importance that,-11.075
importance with,-11.075
important and,-11.075
important it,-11.075
inclination and,-11.075
inclination that,-11.075
income but,-11.075
income was,-11.075
income with,-11.075
indifference towards,-11.075
indifferent a,-11.075
indifferent as,-11.075
indifferent or,-11.075
information about,-11.075
information as,-11.075
information could,-11.075
information in,-11.075
information on,-11.075
information to,-11.075
instead <eos>,-11.075
instead and,-11.075
intended <eos>,-11.075
intended and,-11.075
itself in,-11.075
itself into,-11.075
itself that,-11.075
itself to,-11.075
joined Mrs,-11.075
joined the,-11.075
lately and,-11.075
leaving Highbury,-11.075
leaving him,-11.075
leaving you,-11.075
melancholy <eos>,-11.075
melancholy change,-11.075
mention <eos>,-11.075
mention her,-11.075
mention no,-11.075
mention to,-11.075
mention your,-11.075
neighbourhood and,-11.075
neighbourhood for,-11.075
note had,-11.075
note or,-11.075
observe <eos>,-11.075
observe Sir,-11.075
observe her,-11.075
observe him,-11.075
observe the,-11.075
observe their,-11.075
odd a,-11.075
odd but,-11.075
odd one,-11.075
offer she,-11.075
offer the,-11.075
painful a,-11.075
painful as,-11.075
painful exertion,-11.075
papa I,-11.075
papa and,-11.075
papa if,-11.075
papa it,-11.075
papa that,-11.075
papa we,-11.075
parties are,-11.075
parties of,-11.075
parties were,-11.075
pause I,-11.075
pay the,-11.075
pay this,-11.075
pay your,-11.075
period he,-11.075
period to,-11.075
pride is,-11.075
proved that,-11.075
purpose for,-11.075
purpose of,-11.075
quarter which,-11.075
rain I,-11.075
rain and,-11.075
rain had,-11.075
rain set,-11.075
rain was,-11.075
rain when,-11.075
receiving from,-11.075
receiving the,-11.075
required by,-11.075
required for,-11.075
required it,-11.075
required no,-11.075
required to,-11.075
rooms <eos>,-11.075
rooms at,-11.075
rooms had,-11.075
rooms were,-11.075
rooms where,-11.075
safe at,-11.075
safe to,-11.075
says he,-11.075
says there,-11.075
scheme and,-11.075
scheme had,-11.075
send the,-11.075
send us,-11.075
servant <eos>,-11.075
servant had,-11.075
servant of,-11.075
servant s,-11.075
servant who,-11.075
service <eos>,-11.075
service for,-11.075
service in,-11.075
service which,-11.075
service with,-11.075
shew his,-11.075
shew me,-11.075
sigh of,-11.075
sigh that,-11.075
sigh when,-11.075
stand against,-11.075
stand at,-11.075
stand the,-11.075
standing at,-11.075
standing just,-11.075
sudden a,-11.075
sudden resolution,-11.075
sudden turn,-11.075
summer but,-11.075
summer house,-11.075
summer in,-11.075
summer of,-11.075
surprize at,-11.075
suspect to,-11.075
suspicion could,-11.075
suspicion was,-11.075
terms and,-11.075
terms as,-11.075
terms to,-11.075
thinks herself,-11.075
thinks only,-11.075
thinks the,-11.075
trouble on,-11.075
trouble to,-11.075
warmly as,-11.075
warmly into,-11.075
warmth than,-11.075
warmth was,-11.075
warmth which,-11.075
whenever you,-11.075
wishing that,-11.075
write and,-11.075
write it,-11.075
write the,-11.075
writing and,-11.075
writing desk,-11.075
wrote the,-11.075
Dixon which,-11.076
Dixon you,-11.076
Here Anne,-11.076
Here are,-11.076
Here ceased,-11.076
Here comes,-11.076
Here have,-11.076
Here she,-11.076
Here they,-11.076
Indeed Mrs,-11.076
Musgroves <eos>,-11.076
Musgroves at,-11.076
Musgroves came,-11.076
Musgroves could,-11.076
Musgroves who,-11.076
Norland as,-11.076
Norland estate,-11.076
Norland had,-11.076
Norland was,-11.076
Nothing at,-11.076
Nothing should,-11.076
Nothing to,-11.076
Nothing was,-11.076
Taylor if,-11.076
Why he,-11.076
Why pretty,-11.076
Why would,-11.076
absolutely charming,-11.076
absolutely refused,-11.076
actually <UNK>,-11.076
actually been,-11.076
actually before,-11.076
agitation as,-11.076
agitation when,-11.076
agitation which,-11.076
agreed upon,-11.076
alarm that,-11.076
alarm was,-11.076
also at,-11.076
also but,-11.076
altogether <eos>,-11.076
altogether an,-11.076
altogether having,-11.076
altogether in,-11.076
altogether such,-11.076
arrived at,-11.076
beautiful <eos>,-11.076
beautiful country,-11.076
beautiful girl,-11.076
beautiful little,-11.076
beautiful place,-11.076
become an,-11.076
become indifferent,-11.076
begin when,-11.076
begin with,-11.076
breakfast as,-11.076
breakfast but,-11.076
breakfast hour,-11.076
breakfast room,-11.076
breakfast she,-11.076
breakfast table,-11.076
breakfast when,-11.076
claims as,-11.076
claims but,-11.076
compliment of,-11.076
cousin Charles,-11.076
cousin of,-11.076
cousin s,-11.076
dancing <eos>,-11.076
dancing in,-11.076
dancing not,-11.076
dancing with,-11.076
daughters and,-11.076
daughters sake,-11.076
daughters than,-11.076
daughters were,-11.076
difficulties on,-11.076
difficulties were,-11.076
disappointed and,-11.076
disappointed but,-11.076
disappointed he,-11.076
disappointment as,-11.076
disappointment by,-11.076
disappointment or,-11.076
distance <eos>,-11.076
distance but,-11.076
due by,-11.076
due decorum,-11.076
ease of,-11.076
ease to,-11.076
elegance <eos>,-11.076
exceedingly <UNK>,-11.076
exceedingly and,-11.076
exceedingly glad,-11.076
exceedingly great,-11.076
exceedingly pleased,-11.076
exceedingly sorry,-11.076
expectation <eos>,-11.076
expectation on,-11.076
expectation which,-11.076
fair <eos>,-11.076
fair but,-11.076
fair friend,-11.076
fair lady,-11.076
form an,-11.076
form and,-11.076
form as,-11.076
gentlemen I,-11.076
gentlemen that,-11.076
highly accomplished,-11.076
highly gratified,-11.076
highly important,-11.076
hundred times,-11.076
join her,-11.076
join in,-11.076
join me,-11.076
joy in,-11.076
joy on,-11.076
joy though,-11.076
joy to,-11.076
joy was,-11.076
knows I,-11.076
knows that,-11.076
knows the,-11.076
knows what,-11.076
knows you,-11.076
marrying <eos>,-11.076
marrying Harriet,-11.076
marrying I,-11.076
marrying a,-11.076
marrying and,-11.076
mine has,-11.076
moments afterwards,-11.076
moments but,-11.076
moments her,-11.076
moments only,-11.076
money but,-11.076
money he,-11.076
money to,-11.076
money was,-11.076
obliging invitation,-11.076
occurred again,-11.076
picture but,-11.076
picture in,-11.076
picture the,-11.076
prevent a,-11.076
prevent any,-11.076
prevent it,-11.076
produced a,-11.076
produced from,-11.076
produced it,-11.076
produced within,-11.076
promise the,-11.076
promised it,-11.076
quick sighted,-11.076
returning <eos>,-11.076
returning home,-11.076
returning it,-11.076
returning with,-11.076
rich enough,-11.076
rich my,-11.076
struck <eos>,-11.076
struck and,-11.076
sweet little,-11.076
sweet temper,-11.076
sweet tempered,-11.076
tea but,-11.076
trying it,-11.076
vain and,-11.076
vain spirit,-11.076
value and,-11.076
value simplicity,-11.076
waiting a,-11.076
waiting the,-11.076
waiting to,-11.076
welcome he,-11.076
welcome which,-11.076
Campbell and,-11.077
Campbell was,-11.077
Campbell were,-11.077
Campbell who,-11.077
Campbell would,-11.077
Donwell he,-11.077
Donwell was,-11.077
Fanny had,-11.077
Fanny he,-11.077
Fanny was,-11.077
Fanny would,-11.077
Had not,-11.077
Had they,-11.077
Perhaps Miss,-11.077
Perhaps she,-11.077
THAT and,-11.077
THAT in,-11.077
THAT is,-11.077
THAT must,-11.077
Then here,-11.077
Then she,-11.077
Then there,-11.077
Then turning,-11.077
anxiety it,-11.077
attempt any,-11.077
attempt more,-11.077
attempt on,-11.077
attempt the,-11.077
aware how,-11.077
beauty as,-11.077
beauty is,-11.077
beauty than,-11.077
beauty to,-11.077
became a,-11.077
became gradually,-11.077
became known,-11.077
became of,-11.077
became perceptible,-11.077
behind and,-11.077
behind it,-11.077
behind with,-11.077
caught <eos>,-11.077
caught a,-11.077
caught no,-11.077
chance I,-11.077
chance and,-11.077
charming I,-11.077
charming man,-11.077
charming women,-11.077
cheerful <UNK>,-11.077
cheerful Mr,-11.077
cheerful in,-11.077
cheerful look,-11.077
cheerful or,-11.077
cheerful so,-11.077
companion but,-11.077
companion in,-11.077
companion than,-11.077
companion to,-11.077
companion was,-11.077
concern at,-11.077
decided that,-11.077
decided the,-11.077
delight in,-11.077
delight than,-11.077
delight that,-11.077
delight which,-11.077
difficulty about,-11.077
difficulty and,-11.077
difficulty it,-11.077
difficulty to,-11.077
disposition <eos>,-11.077
disposition he,-11.077
disposition of,-11.077
disposition than,-11.077
duty as,-11.077
easily <UNK>,-11.077
easily pleased,-11.077
easily to,-11.077
event a,-11.077
event and,-11.077
event for,-11.077
event had,-11.077
event that,-11.077
event which,-11.077
everything <eos>,-11.077
everything and,-11.077
everything being,-11.077
everything but,-11.077
everything else,-11.077
everything in,-11.077
fact as,-11.077
fact but,-11.077
fact it,-11.077
fact you,-11.077
finding she,-11.077
finding that,-11.077
finding their,-11.077
fixed <eos>,-11.077
fixed determination,-11.077
fixed only,-11.077
fixed so,-11.077
generally a,-11.077
generally out,-11.077
high opinion,-11.077
high wrought,-11.077
hopes by,-11.077
hopes that,-11.077
horses would,-11.077
led astray,-11.077
led away,-11.077
low <UNK>,-11.077
low <eos>,-11.077
low company,-11.077
low to,-11.077
mentioned by,-11.077
mentioned in,-11.077
mentioned the,-11.077
misery and,-11.077
misery which,-11.077
mistaken and,-11.077
mistaken confidence,-11.077
mistaken for,-11.077
mistaken there,-11.077
music that,-11.077
music to,-11.077
music was,-11.077
otherwise but,-11.077
otherwise her,-11.077
otherwise than,-11.077
pass and,-11.077
pass between,-11.077
pass by,-11.077
pass his,-11.077
pass on,-11.077
pass unnoticed,-11.077
pity for,-11.077
pity them,-11.077
pity you,-11.077
please but,-11.077
please one,-11.077
reached Highbury,-11.077
reached and,-11.077
reached me,-11.077
regret but,-11.077
regret it,-11.077
regret than,-11.077
regret which,-11.077
repeated Anne,-11.077
repeated Miss,-11.077
repeated Mrs,-11.077
repeated assurances,-11.077
repeated to,-11.077
secret to,-11.077
seems quite,-11.077
smallest <UNK>,-11.077
smallest degree,-11.077
smallest difficulty,-11.077
smallest objection,-11.077
smallest suspicion,-11.077
smiling but,-11.077
smiling that,-11.077
smiling to,-11.077
smiling with,-11.077
staying <eos>,-11.077
staying away,-11.077
staying for,-11.077
staying in,-11.077
staying only,-11.077
suffered <eos>,-11.077
suffered dreadfully,-11.077
suffered for,-11.077
suffered no,-11.077
suffered the,-11.077
suffered to,-11.077
suffering a,-11.077
suffering much,-11.077
suffering she,-11.077
tried <eos>,-11.077
tried earnestly,-11.077
tried in,-11.077
tried it,-11.077
tried the,-11.077
turning <eos>,-11.077
turning round,-11.077
unhappy I,-11.077
unhappy but,-11.077
unhappy by,-11.077
unhappy she,-11.077
wait a,-11.077
wanting but,-11.077
wanting on,-11.077
wanting the,-11.077
whatever I,-11.077
whatever your,-11.077
women I,-11.077
women at,-11.077
women could,-11.077
women to,-11.077
women were,-11.077
women you,-11.077
work in,-11.077
work they,-11.077
work to,-11.077
written and,-11.077
written her,-11.077
written out,-11.077
Croft had,-11.078
Croft were,-11.078
Goddard had,-11.078
Goddard was,-11.078
Is your,-11.078
Their being,-11.078
Their conversation,-11.078
Their dress,-11.078
Their first,-11.078
Their presence,-11.078
admiration as,-11.078
admiration but,-11.078
admiration by,-11.078
admiration on,-11.078
admiration which,-11.078
answered Marianne,-11.078
answered and,-11.078
answered by,-11.078
answered her,-11.078
answered it,-11.078
answered my,-11.078
ashamed <eos>,-11.078
completely <UNK>,-11.078
completely for,-11.078
completely in,-11.078
countenance as,-11.078
countenance from,-11.078
countenance of,-11.078
countenance that,-11.078
countenance with,-11.078
distress <eos>,-11.078
distress would,-11.078
distress you,-11.078
especially at,-11.078
especially since,-11.078
especially the,-11.078
especially to,-11.078
especially with,-11.078
except by,-11.078
except herself,-11.078
except the,-11.078
except what,-11.078
expect much,-11.078
friendship between,-11.078
friendship of,-11.078
friendship she,-11.078
friendship that,-11.078
friendship which,-11.078
future <UNK>,-11.078
future for,-11.078
future war,-11.078
future which,-11.078
future wife,-11.078
happened before,-11.078
honour my,-11.078
honour that,-11.078
honour there,-11.078
honour to,-11.078
influence and,-11.078
influence over,-11.078
influence the,-11.078
instantly <eos>,-11.078
instantly and,-11.078
instantly gave,-11.078
instantly that,-11.078
instantly to,-11.078
instantly withdrawn,-11.078
loved <eos>,-11.078
loved by,-11.078
merely <UNK>,-11.078
merely a,-11.078
merely because,-11.078
merely giving,-11.078
merely in,-11.078
merely looked,-11.078
merely personal,-11.078
news and,-11.078
news he,-11.078
news must,-11.078
news with,-11.078
observed by,-11.078
observed it,-11.078
observed to,-11.078
observed with,-11.078
perfect <UNK>,-11.078
perfect <eos>,-11.078
perfect beauty,-11.078
perfect confidence,-11.078
perfect conviction,-11.078
persuaded <eos>,-11.078
pounds in,-11.078
pounds of,-11.078
praise for,-11.078
praise might,-11.078
remained as,-11.078
spent an,-11.078
spent at,-11.078
spent so,-11.078
spent with,-11.078
spirit from,-11.078
spirit to,-11.078
spirit which,-11.078
style <eos>,-11.078
style and,-11.078
times and,-11.078
times every,-11.078
times of,-11.078
times the,-11.078
tone he,-11.078
understood and,-11.078
understood the,-11.078
understood to,-11.078
understood you,-11.078
weeks and,-11.078
weeks before,-11.078
weeks longer,-11.078
weeks of,-11.078
weeks past,-11.078
weeks she,-11.078
weeks which,-11.078
weeks with,-11.078
window apparently,-11.078
window as,-11.078
window curtains,-11.078
window descried,-11.078
window seats,-11.078
After another,-11.079
After some,-11.079
Benwick is,-11.079
Benwick seemed,-11.079
Benwick would,-11.079
Cole and,-11.079
Cole does,-11.079
Cole of,-11.079
Cole said,-11.079
Cole told,-11.079
Every <UNK>,-11.079
For her,-11.079
For it,-11.079
For shame,-11.079
For some,-11.079
Lyme for,-11.079
Lyme he,-11.079
Lyme to,-11.079
Lyme which,-11.079
Not the,-11.079
Not yet,-11.079
One could,-11.079
One day,-11.079
One does,-11.079
One man,-11.079
One should,-11.079
Street January,-11.079
Street on,-11.079
Street or,-11.079
Street said,-11.079
Street she,-11.079
With great,-11.079
With this,-11.079
ago Emma,-11.079
ago as,-11.079
ago he,-11.079
ago it,-11.079
ago she,-11.079
ago when,-11.079
amiable as,-11.079
amiable creature,-11.079
amiable heart,-11.079
amiable in,-11.079
amiable pleasing,-11.079
amiable temper,-11.079
arrival at,-11.079
arrival she,-11.079
aunt had,-11.079
aunt very,-11.079
aunt was,-11.079
aunt who,-11.079
aunt will,-11.079
bring Jane,-11.079
bring herself,-11.079
bring it,-11.079
bring me,-11.079
bring the,-11.079
confidence had,-11.079
confidence was,-11.079
confidence which,-11.079
consider me,-11.079
consider this,-11.079
consider whether,-11.079
consider you,-11.079
cottage <UNK>,-11.079
cottage as,-11.079
cottage at,-11.079
cottage but,-11.079
cottage from,-11.079
cottage he,-11.079
creature as,-11.079
creature from,-11.079
creature of,-11.079
creature that,-11.079
delightful it,-11.079
delightful to,-11.079
delightful woman,-11.079
difference but,-11.079
difference to,-11.079
enjoyment in,-11.079
equally at,-11.079
equally contented,-11.079
equally the,-11.079
evil <eos>,-11.079
evil day,-11.079
evil had,-11.079
evil than,-11.079
excellent creature,-11.079
excellent friend,-11.079
excellent in,-11.079
excellent man,-11.079
excellent match,-11.079
favourite beaux,-11.079
favourite child,-11.079
favourite he,-11.079
followed <eos>,-11.079
followed Mr,-11.079
followed in,-11.079
followed it,-11.079
followed of,-11.079
followed she,-11.079
followed the,-11.079
followed them,-11.079
followed was,-11.079
gratitude but,-11.079
gratitude of,-11.079
gratitude which,-11.079
greatest attention,-11.079
greatest comfort,-11.079
greatest happiness,-11.079
greatest possible,-11.079
greatest satisfaction,-11.079
hands I,-11.079
hands behind,-11.079
hands but,-11.079
invitation of,-11.079
invitation she,-11.079
judgment at,-11.079
judgment had,-11.079
judgment must,-11.079
judgment than,-11.079
late incumbent,-11.079
late viscount,-11.079
law for,-11.079
law line,-11.079
law of,-11.079
law on,-11.079
law was,-11.079
law who,-11.079
letters all,-11.079
letters so,-11.079
letters which,-11.079
letters with,-11.079
looks or,-11.079
looks that,-11.079
looks upon,-11.079
looks very,-11.079
looks which,-11.079
match I,-11.079
match and,-11.079
match as,-11.079
match between,-11.079
match in,-11.079
match takes,-11.079
morrow if,-11.079
morrow morning,-11.079
morrow night,-11.079
morrow s,-11.079
occasion and,-11.079
occasion but,-11.079
occasion he,-11.079
pleasant <eos>,-11.079
pleasant a,-11.079
pleasant as,-11.079
pleasant days,-11.079
pleasant people,-11.079
quiet a,-11.079
quiet cheerfulness,-11.079
resolved not,-11.079
resolved within,-11.079
sake I,-11.079
sake in,-11.079
sake too,-11.079
scarcely finished,-11.079
scarcely to,-11.079
second <UNK>,-11.079
second <eos>,-11.079
second attachment,-11.079
second brings,-11.079
second carriage,-11.079
second visit,-11.079
sensible he,-11.079
serious anxiety,-11.079
serious business,-11.079
turn back,-11.079
turn his,-11.079
turn it,-11.079
turn the,-11.079
turn up,-11.079
understanding but,-11.079
understanding them,-11.079
understanding to,-11.079
understanding was,-11.079
warm heart,-11.079
warm hearted,-11.079
worse I,-11.079
worse for,-11.079
worse to,-11.079
wrong before,-11.079
wrong she,-11.079
wrong thing,-11.079
wrong things,-11.079
wrong to,-11.079
yes <eos>,-11.079
yes certainly,-11.079
yes he,-11.079
yes quite,-11.079
yes that,-11.079
yes there,-11.079
yesterday as,-11.079
yesterday the,-11.079
Admiral <UNK>,-11.08
Admiral after,-11.08
Admiral had,-11.08
Clay for,-11.08
Clay has,-11.08
Clay should,-11.08
Clay to,-11.08
Clay who,-11.08
Henrietta <eos>,-11.08
Henrietta all,-11.08
Henrietta did,-11.08
Henrietta had,-11.08
Henrietta nor,-11.08
Henrietta to,-11.08
Henrietta was,-11.08
Perry and,-11.08
Perry said,-11.08
Perry the,-11.08
Poor Elinor,-11.08
Poor Fanny,-11.08
Poor Marianne,-11.08
Poor Miss,-11.08
Poor Mrs,-11.08
Poor dear,-11.08
Poor man,-11.08
Poor young,-11.08
Robert had,-11.08
Robert was,-11.08
advantage it,-11.08
certain a,-11.08
circumstance <eos>,-11.08
circumstance as,-11.08
circumstance for,-11.08
circumstance he,-11.08
circumstance occurred,-11.08
circumstance was,-11.08
circumstance which,-11.08
curiosity on,-11.08
curiosity or,-11.08
curiosity she,-11.08
curiosity was,-11.08
curiosity which,-11.08
delighted for,-11.08
delighted her,-11.08
easy <UNK>,-11.08
easy distance,-11.08
easy temper,-11.08
favour that,-11.08
favour to,-11.08
favour which,-11.08
former acquaintance,-11.08
former days,-11.08
former good,-11.08
former times,-11.08
former with,-11.08
kept away,-11.08
kept it,-11.08
kept my,-11.08
kept off,-11.08
knowing a,-11.08
knowing how,-11.08
live for,-11.08
live very,-11.08
live with,-11.08
lived <eos>,-11.08
lived a,-11.08
lived three,-11.08
meaning but,-11.08
notice the,-11.08
notice was,-11.08
past if,-11.08
past kindness,-11.08
past she,-11.08
past that,-11.08
past the,-11.08
past was,-11.08
plan had,-11.08
plan she,-11.08
plan to,-11.08
probably a,-11.08
probably in,-11.08
probably never,-11.08
probably no,-11.08
probably not,-11.08
probably with,-11.08
self consequence,-11.08
self denial,-11.08
self denying,-11.08
self importance,-11.08
self interest,-11.08
self is,-11.08
self will,-11.08
sent <eos>,-11.08
sent away,-11.08
sent the,-11.08
silence as,-11.08
silence between,-11.08
silence for,-11.08
silence in,-11.08
silence which,-11.08
silence with,-11.08
silent <UNK>,-11.08
silent for,-11.08
silent from,-11.08
silent he,-11.08
silent it,-11.08
silent till,-11.08
silent when,-11.08
sitting at,-11.08
sitting up,-11.08
spoken it,-11.08
surprise her,-11.08
surprise on,-11.08
surprise or,-11.08
surprise than,-11.08
surprise to,-11.08
surprise when,-11.08
taking <UNK>,-11.08
taking care,-11.08
taking his,-11.08
taking much,-11.08
taking out,-11.08
taking place,-11.08
taking them,-11.08
temper but,-11.08
temper could,-11.08
temper might,-11.08
temper of,-11.08
ten <eos>,-11.08
ten or,-11.08
thoughts all,-11.08
thoughts from,-11.08
thoughts when,-11.08
view and,-11.08
view it,-11.08
view that,-11.08
view the,-11.08
weather beaten,-11.08
weather than,-11.08
wishes in,-11.08
wishes it,-11.08
wishes which,-11.08
At Lyme,-11.081
At least,-11.081
At one,-11.081
Harville her,-11.081
Harville to,-11.081
Isabella had,-11.081
Isabella she,-11.081
Isabella the,-11.081
Isabella were,-11.081
Isabella which,-11.081
Isabella would,-11.081
Now Emma,-11.081
Now as,-11.081
Now it,-11.081
Now my,-11.081
Now she,-11.081
Now they,-11.081
Now we,-11.081
Palmer on,-11.081
Palmer soon,-11.081
Such as,-11.081
Such things,-11.081
Such were,-11.081
Uppercross as,-11.081
Uppercross by,-11.081
Uppercross had,-11.081
Uppercross in,-11.081
Uppercross the,-11.081
Uppercross they,-11.081
Uppercross was,-11.081
Uppercross where,-11.081
Uppercross which,-11.081
Very <eos>,-11.081
Very happy,-11.081
Very likely,-11.081
Very much,-11.081
allowed <eos>,-11.081
allowed I,-11.081
allowed his,-11.081
allowed it,-11.081
allowed myself,-11.081
appear <eos>,-11.081
appear a,-11.081
appear but,-11.081
appear happy,-11.081
appear like,-11.081
appear quite,-11.081
appear that,-11.081
considered <eos>,-11.081
considered and,-11.081
considered their,-11.081
considered what,-11.081
considered with,-11.081
drawing back,-11.081
drawing or,-11.081
entered and,-11.081
entered their,-11.081
eye <UNK>,-11.081
eye of,-11.081
eye the,-11.081
fond attachment,-11.081
health nor,-11.081
health now,-11.081
health or,-11.081
health seemed,-11.081
health than,-11.081
help exclaiming,-11.081
help of,-11.081
help saying,-11.081
help smiling,-11.081
help suspecting,-11.081
help which,-11.081
help wondering,-11.081
keep Harriet,-11.081
keep as,-11.081
keep him,-11.081
keep me,-11.081
keep to,-11.081
knowledge I,-11.081
living almost,-11.081
living and,-11.081
living at,-11.081
living together,-11.081
living was,-11.081
meant <eos>,-11.081
meant it,-11.081
meant nothing,-11.081
meant only,-11.081
meet <eos>,-11.081
meet Lady,-11.081
meet Miss,-11.081
meet by,-11.081
meet every,-11.081
meet the,-11.081
pain in,-11.081
pain is,-11.081
pain that,-11.081
pain you,-11.081
proper interest,-11.081
proper submission,-11.081
remember I,-11.081
remember he,-11.081
remember him,-11.081
remember my,-11.081
remember one,-11.081
seem as,-11.081
seem shut,-11.081
seem very,-11.081
sir but,-11.081
sir the,-11.081
sir turning,-11.081
sir upon,-11.081
sir you,-11.081
sisters at,-11.081
sisters from,-11.081
sisters had,-11.081
sisters was,-11.081
sisters would,-11.081
sit at,-11.081
sit by,-11.081
sit in,-11.081
sit out,-11.081
sit still,-11.081
small <eos>,-11.081
small and,-11.081
small for,-11.081
small miniature,-11.081
small part,-11.081
small was,-11.081
smile a,-11.081
smile about,-11.081
smile as,-11.081
smile from,-11.081
smile her,-11.081
smile to,-11.081
smile was,-11.081
smile when,-11.081
smile which,-11.081
sometimes <eos>,-11.081
sometimes by,-11.081
sometimes fancied,-11.081
sometimes in,-11.081
sometimes occur,-11.081
sometimes the,-11.081
sometimes very,-11.081
sometimes with,-11.081
table but,-11.081
table for,-11.081
table she,-11.081
table spread,-11.081
table was,-11.081
table when,-11.081
table where,-11.081
table which,-11.081
thousand thanks,-11.081
truth however,-11.081
truth is,-11.081
truth though,-11.081
twenty thousand,-11.081
twenty with,-11.081
twenty young,-11.081
walking away,-11.081
walking in,-11.081
walking off,-11.081
walking on,-11.081
walking out,-11.081
walking over,-11.081
walking party,-11.081
walking some,-11.081
walking up,-11.081
walking with,-11.081
worth hearing,-11.081
worth listening,-11.081
worth my,-11.081
worth the,-11.081
worth thinking,-11.081
worth which,-11.081
Barton Cottage,-11.082
Barton cottage,-11.082
Barton had,-11.082
Barton must,-11.082
Barton was,-11.082
Kellynch Lodge,-11.082
Kellynch for,-11.082
Kellynch was,-11.082
Your own,-11.082
Your wife,-11.082
allow himself,-11.082
allow much,-11.082
allow no,-11.082
allow the,-11.082
allow to,-11.082
allow you,-11.082
anything and,-11.082
anything be,-11.082
anything relative,-11.082
anything should,-11.082
anything that,-11.082
anything was,-11.082
appearance among,-11.082
appearance as,-11.082
appearance might,-11.082
appearance with,-11.082
beginning her,-11.082
beginning was,-11.082
conduct I,-11.082
conduct on,-11.082
conduct the,-11.082
conduct towards,-11.082
conduct we,-11.082
consequence at,-11.082
consequence to,-11.082
consequence which,-11.082
convinced <eos>,-11.082
convinced as,-11.082
convinced there,-11.082
convinced though,-11.082
early <UNK>,-11.082
early age,-11.082
early and,-11.082
early enough,-11.082
early hour,-11.082
early it,-11.082
early period,-11.082
early was,-11.082
got acquainted,-11.082
got back,-11.082
got him,-11.082
got into,-11.082
got my,-11.082
got your,-11.082
greater <UNK>,-11.082
greater attention,-11.082
greater openness,-11.082
greater than,-11.082
hearing I,-11.082
hearing from,-11.082
hearing her,-11.082
hearing his,-11.082
hearing what,-11.082
hoped I,-11.082
hoped and,-11.082
hoped for,-11.082
hoped they,-11.082
hoped would,-11.082
large basket,-11.082
large enough,-11.082
large for,-11.082
large one,-11.082
necessary at,-11.082
necessary but,-11.082
necessary or,-11.082
need <eos>,-11.082
nobody <eos>,-11.082
nobody equal,-11.082
nobody had,-11.082
nobody knew,-11.082
nobody s,-11.082
nobody speaks,-11.082
read or,-11.082
read them,-11.082
read there,-11.082
sat a,-11.082
sat for,-11.082
sat happily,-11.082
sat near,-11.082
sat with,-11.082
superior claims,-11.082
superior creature,-11.082
superior no,-11.082
superior performer,-11.082
supposed any,-11.082
supposed from,-11.082
supposed they,-11.082
t <eos>,-11.082
t ask,-11.082
t come,-11.082
t disturb,-11.082
t let,-11.082
t other,-11.082
t you,-11.082
why <eos>,-11.082
why I,-11.082
why Mrs,-11.082
why does,-11.082
why so,-11.082
with Anne,-11.082
with Elinor,-11.082
with Jane,-11.082
with Lucy,-11.082
with Marianne,-11.082
with Sir,-11.082
with admiration,-11.082
with animation,-11.082
with by,-11.082
with concern,-11.082
with difficulty,-11.082
with equal,-11.082
with good,-11.082
with grateful,-11.082
with having,-11.082
with how,-11.082
with manners,-11.082
with myself,-11.082
with satisfaction,-11.082
with surprise,-11.082
with tears,-11.082
with tender,-11.082
with tolerable,-11.082
with true,-11.082
London he,-11.083
London it,-11.083
London when,-11.083
London where,-11.083
London which,-11.083
London without,-11.083
Randalls at,-11.083
Randalls had,-11.083
Randalls in,-11.083
Randalls is,-11.083
Randalls party,-11.083
Randalls that,-11.083
acquainted and,-11.083
air as,-11.083
air for,-11.083
air to,-11.083
alone but,-11.083
alone could,-11.083
alone for,-11.083
alone he,-11.083
alone she,-11.083
alone to,-11.083
alone without,-11.083
anxious about,-11.083
anxious friend,-11.083
anxious solicitude,-11.083
asked Elizabeth,-11.083
asked Marianne,-11.083
asked more,-11.083
asked my,-11.083
asked the,-11.083
asked whether,-11.083
call Colonel,-11.083
call again,-11.083
call at,-11.083
call here,-11.083
call myself,-11.083
call them,-11.083
call to,-11.083
case he,-11.083
case it,-11.083
case that,-11.083
case was,-11.083
case which,-11.083
circumstances may,-11.083
circumstances said,-11.083
circumstances she,-11.083
circumstances were,-11.083
circumstances would,-11.083
cold for,-11.083
cold last,-11.083
cold meat,-11.083
cold or,-11.083
cold was,-11.083
comfortable again,-11.083
comfortable fortune,-11.083
comfortable maintenance,-11.083
comfortable they,-11.083
engaged elsewhere,-11.083
face of,-11.083
face on,-11.083
face than,-11.083
face the,-11.083
face to,-11.083
fancy I,-11.083
fancy Mr,-11.083
fancy a,-11.083
fancy had,-11.083
fancy herself,-11.083
fancy of,-11.083
fancy she,-11.083
fancy you,-11.083
forward again,-11.083
